Event Name,Opening,Individual Dates and Times,Show Notes,Total Events,Piano Tuning?,Series,Venue,Staff,After Today,Within Next Quarter,Within Next Month,Parsed Date,Parsed Time,Status
iLuminate,10/25/2025,"Saturday, October 25, 2025 at 7:30pm",,1,FALSE,Spotlight,Main Stage,,FALSE,TRUE,TRUE,10/25/2025,7:30 PM,Success
Film: The Rocky Horror Picture Show,10/31/2025,"Friday, October 31, 2025 at 10:00pm",,1,FALSE,Spotlight,Main Stage,,FALSE,TRUE,TRUE,10/31/2025,10:00 PM,Success
"Kaleidoscope Series
presents Mya Frazier",11/6/2025,"Thursday, November 6, 2025 at 5:30pm",,1,FALSE,Kaleidoscope,Main Stage,,FALSE,TRUE,TRUE,11/06/2025,5:30 PM,Success
"Ghostlight Cabaret:
Condrea Mason & Alice Bond
—Ain’t No Mountain High Enough",11/7/2025,"Friday, November 7, 2025 at 7:30pm",,1,FALSE,Innovation,Ghostlight,,FALSE,TRUE,TRUE,11/07/2025,7:30 PM,Success
"Jim Brickman:
HITS LIVE! and A Little Bit of Christmas",11/8/2025,"Saturday, November 8, 2025 at 7:30pm",,1,FALSE,Concert,Main Stage,,FALSE,TRUE,TRUE,11/08/2025,7:30 PM,Success
Veterans' Salute: A Free Performance with the AFM 159 Concert Band and Mansfield Symphony Chorus,11/9/2025,"Sunday, November 9, 2025 at 2:30pm",,1,FALSE,Special,Main Stage,,FALSE,TRUE,TRUE,11/09/2025,2:30 PM,Success
Crazy Train: America's Ozzy Osbourne Experience,11/14/2025,"Friday, November 14, 2025 at 7:30pm",,1,FALSE,Concert,Main Stage,,FALSE,TRUE,TRUE,11/14/2025,7:30 PM,Success
She Loves Me,11/14/2025,"Friday, November 14, 2025 at 7:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,11/14/2025,7:30 PM,Success
She Loves Me,11/14/2025,"Saturday, November 15, 2025 at 7:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,11/15/2025,7:30 PM,Success
She Loves Me,11/14/2025,"Sunday, November 16, 2025 at 2:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,11/16/2025,2:30 PM,Success
Youth Strings: Fall Concert,11/16/2025,"Sunday, November 16, 2025 at 3:30pm",,1,FALSE,Education,Lex HS,,FALSE,TRUE,TRUE,11/16/2025,3:30 PM,Success
She Loves Me,11/14/2025,"Friday, November 21, 2025 at 7:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,11/21/2025,7:30 PM,Success
She Loves Me,11/14/2025,"Saturday, November 22, 2025 at 7:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,11/22/2025,7:30 PM,Success
She Loves Me,11/14/2025,"Sunday, November 23, 2025 at 2:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,11/23/2025,2:30 PM,Success
She Loves Me,11/14/2025,"Friday, November 28, 2025 at 7:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,11/28/2025,7:30 PM,Success
She Loves Me,11/14/2025,"Saturday, November 29, 2025 at 7:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,11/29/2025,7:30 PM,Success
She Loves Me,11/14/2025,"Sunday, November 30, 2025 at 2:30pm",,9,FALSE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,11/30/2025,2:30 PM,Success
"Richland Academy of the Arts:
The Nutcracker Ballet",12/5/2025,"Friday, December 5, 2025 at 9:15am",,3,FALSE,Spotlight,Main Stage,,FALSE,TRUE,TRUE,12/05/2025,9:15 AM,Success
"Richland Academy of the Arts:
The Nutcracker Ballet",12/5/2025,"Saturday, December 6, 2025 at 7:30pm",,3,FALSE,Spotlight,Main Stage,,FALSE,TRUE,TRUE,12/06/2025,7:30 PM,Success
